id,name,symbol,price,market_cap,slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,platform,cmc_rank
2502,Huobi Token,HT,28.56201775762864,5000473330.5537195,huobi-token,170,2018-02-03T00:00:00.000Z,500000000.0,175074232.25441208,500000000.0,175074232.25441208,500000000.0
5994,SHIBA INU,SHIB,1.25624006e-05,4959585507.2776,shiba-inu,62,2020-08-01T00:00:00.000Z,,394796000000000.0,1000000000000000.0,394796000000000.0,1000000000000000.0
4943,Dai,DAI,0.99856415430234,4890309739.795032,multi-collateral-dai,443,2019-11-22T00:00:00.000Z,,4897341566.613425,4897342055.452571,4897341566.613425,4897342055.452571
3794,Cosmos,ATOM,22.9730686266437,4841970791.701165,cosmos,171,2019-03-14T00:00:00.000Z,,210767262.762866,268551865.762866,210767262.762866,268551865.762866
2011,Tezos,XTZ,5.52147000579969,4837786865.698975,tezos,165,2017-10-06T00:00:00.000Z,,876177333.321999,876177333.321999,876177333.321999,876177333.321999
4195,FTX Token,FTT,51.15649196457106,4826459374.445393,ftx-token,46,2019-07-31T00:00:00.000Z,339228639.0,94346957.523749,345219293.590976,94346957.523749,345219293.590976
7186,PancakeSwap,CAKE,27.90034829063061,4600771028.334142,pancakeswap,125,2020-09-25T00:00:00.000Z,,164900128.85893455,164900128.85893455,164900128.85893455,164900128.85893455
5034,Kusama,KSM,522.6656928889051,4427029669.935843,kusama,70,2019-12-12T00:00:00.000Z,,8470098.05726206,9651217.45126206,8470098.05726206,9651217.45126206
4157,THORChain,RUNE,18.32536194132702,4396951307.870925,thorchain,30,2019-07-23T00:00:00.000Z,,239938033.52691227,500000000.0,239938033.52691227,500000000.0
1518,Maker,MKR,4270.845914353111,4247622977.9459586,maker,210,2017-01-29T00:00:00.000Z,1005577.0,994562.45042016,994562.45042016,994562.45042016,994562.45042016
5805,Avalanche,AVAX,33.07797744961534,4264194498.839384,avalanche,60,2020-07-13T00:00:00.000Z,720000000.0,128913398.81147939,383079433.8114794,128913398.81147939,383079433.8114794
4030,Algorand,ALGO,1.35084161805502,4106358313.1886926,algorand,133,2019-06-20T00:00:00.000Z,10000000000.0,3039851791.878565,5518953367.349157,3039851791.878565,5518953367.349157
3635,Crypto.com Coin,CRO,0.14941721503968,3774729149.3679442,crypto-com-coin,116,2018-12-14T00:00:00.000Z,,25263013692.0,30263013692.0,25263013692.0,30263013692.0
3718,BitTorrent,BTT,0.0055719576639,3677228086.6796727,bittorrent,142,2019-01-31T00:00:00.000Z,,659952625000.0,990000000000.0,659952625000.0,990000000000.0
5692,Compound,COMP,645.5709432949049,3336109047.121797,compound,187,2020-06-16T00:00:00.000Z,10000000.0,5167687.73714436,10000000.0,5167687.73714436,10000000.0
3957,UNUS SED LEO,LEO,3.42734172250829,3269526791.108097,unus-sed-leo,23,2019-05-21T00:00:00.000Z,,953954130.0,985239504.0,953954130.0,985239504.0
131,Dash,DASH,320.2209588860654,3245026812.431679,dash,360,2014-02-14T00:00:00.000Z,18900000.0,10133711.49633669,10133711.49633669,10133711.49633669,10133711.49633669
1274,Waves,WAVES,29.25547469155104,3075316132.4515996,waves,151,2016-06-02T00:00:00.000Z,,105119338.0,105119338.0,105119338.0,105119338.0
1437,Zcash,ZEC,251.0035537443666,2957673706.4191585,zcash,264,2016-10-29T00:00:00.000Z,21000000.0,11783393.75,11783393.75,11783393.75,11783393.75
873,NEM,XEM,0.28796887948119,2591719915.042741,nem,103,2015-04-01T00:00:00.000Z,8999999999.0,8999999999.0,8999999999.0,8999999999.0,8999999999.0
4642,Hedera Hashgraph,HBAR,0.30925540676969,2554918527.60644,hedera-hashgraph,46,2019-09-17T00:00:00.000Z,50000000000.0,8261516118.0,50000000000.0,8261516118.0,50000000000.0
6892,Elrond,EGLD,145.53620728641783,2542250708.8572454,elrond-egld,39,2020-09-04T00:00:00.000Z,31415926.0,17468166.55634052,21716267.0,17468166.55634052,21716267.0
4023,Bitcoin BEP2,BTCB,44980.05969205174,2455822317.26226,bitcoin-bep2,43,2019-06-18T00:00:00.000Z,,54598.0226366,59501.0,54598.0226366,59501.0
4066,Chiliz,CHZ,0.42117186401382,2352815629.9276676,chiliz,117,2019-07-01T00:00:00.000Z,8888888888.0,5586355193.590197,8888888888.0,5586355193.590197,8888888888.0
5864,yearn.finance,YFI,61113.78571654474,2238905501.7378716,yearn-finance,247,2020-07-18T00:00:00.000Z,36666.0,36635.03210425,36666.0,36635.03210425,36666.0
1168,Decred,DCR,172.55677252542588,2231444474.1415176,decred,56,2016-02-10T00:00:00.000Z,21000000.0,12931653.97963571,12931653.97963571,12931653.97963571,12931653.97963571
2135,Revain,REV,0.02552432155545,2171136712.731632,revain,26,2017-11-01T00:00:00.000Z,,85061485689.83401,85061485689.83401,85061485689.83401,85061485689.83401
6535,NEAR Protocol,NEAR,5.61531709668191,2120454610.1431632,near-protocol,35,2020-08-11T00:00:00.000Z,1000000000.0,377619745.0,1000000000.0,377619745.0,1000000000.0
7129,TerraUSD,UST,0.99953872165799,2095913420.9835613,terrausd,63,2020-09-21T00:00:00.000Z,,2096880666.620853,2096880666.620853,2096880666.620853,2096880666.620853
2586,Synthetix,SNX,18.03101078147976,2070708919.9006624,synthetix-network-token,175,2018-03-14T00:00:00.000Z,212424133.0,114841533.01197928,215258834.2449152,114841533.01197928,215258834.2449152
2469,Zilliqa,ZIL,0.17725248691198,2000524152.8497894,zilliqa,111,2018-01-25T00:00:00.000Z,21000000000.0,11286296670.371735,14577763823.371735,11286296670.371735,14577763823.371735
6758,SushiSwap,SUSHI,15.25032332999688,1940518897.695358,sushiswap,188,2020-08-28T00:00:00.000Z,250000000.0,127244443.0,220103542.3553374,127244443.0,220103542.3553374
2394,Telcoin,TEL,0.03617609560011,1876964530.551453,telcoin,11,2018-01-14T00:00:00.000Z,100000000000.0,51884110195.29,100000000000.0,51884110195.29,100000000000.0
3897,OKB,OKB,30.99315649065267,1859589389.43916,okb,61,2019-04-30T00:00:00.000Z,,60000000.0,300000000.0,60000000.0,300000000.0
2682,Holo,HOT,0.01080494324352,1865893383.468371,holo,83,2018-04-29T00:00:00.000Z,,172688864847.79962,177619433541.14133,172688864847.79962,177619433541.14133
1684,Qtum,QTUM,18.91446658920183,1860629748.3576384,qtum,192,2017-05-24T00:00:00.000Z,107822406.0,98370722.7260568,103404526.0,98370722.7260568,103404526.0
1966,Decentraland,MANA,1.13608706782041,1795569048.231742,decentraland,147,2017-09-17T00:00:00.000Z,,1580485421.488471,2194374827.320146,1580485421.488471,2194374827.320146
2694,Nexo,NEXO,3.1704394423146,1775446122.5710099,nexo,42,2018-05-01T00:00:00.000Z,1000000000.0,560000011.0,1000000000.0,560000011.0,1000000000.0
1697,Basic Attention Token,BAT,1.11303758934405,1665027581.2373478,basic-attention-token,274,2017-06-01T00:00:00.000Z,1500000000.0,1495931132.225825,1500000000.0,1495931132.225825,1500000000.0
4847,Stacks,STX,1.45269793324861,1626851360.556173,stacks,22,2019-10-28T00:00:00.000Z,1818000000.0,1119882752.857031,1352464600.0,1119882752.857031,1352464600.0
2083,Bitcoin Gold,BTG,92.84051836617228,1626001744.6282926,bitcoin-gold,70,2017-10-23T00:00:00.000Z,21000000.0,17513923.589,17513923.589,17513923.589,17513923.589
3822,Theta Fuel,TFUEL,0.3070187327379,1618169985.3885415,theta-fuel,17,2019-03-28T00:00:00.000Z,,5270590400.0,5270590400.0,5270590400.0,5270590400.0
2130,Enjin Coin,ENJ,1.88706018084648,1574400268.6372845,enjin-coin,159,2017-11-01T00:00:00.000Z,1000000000.0,834313756.7192237,1000000000.0,834313756.7192237,1000000000.0
2566,Ontology,ONT,1.89987460162023,1561912641.8935955,ontology,137,2018-03-08T00:00:00.000Z,1000000000.0,822113544.0,1000000000.0,822113544.0,1000000000.0
6719,The Graph,GRT,1.25009188449696,1557198041.223454,the-graph,117,2020-12-17T00:00:00.000Z,10057044431.0,1245666867.0,10000000000.0,1245666867.0,10000000000.0
3513,Fantom,FTM,0.60562764975081,1541326167.7180583,fantom,51,2018-10-29T00:00:00.000Z,3175000000.0,2545006273.0,2545006273.0,2545006273.0,2545006273.0
2700,Celsius,CEL,6.35359724316742,1517642601.05974,celsius,29,2018-05-18T00:00:00.000Z,695658160.0,238863519.826,695658160.0,238863519.826,695658160.0
109,DigiByte,DGB,0.10384300974056,1486396154.9075367,digibyte,101,2014-02-06T00:00:00.000Z,21000000000.0,14313877829.823395,14313877829.823395,14313877829.823395,14313877829.823395
3945,Harmony,ONE,0.15359818452857,1460278300.027895,harmony,34,2019-06-01T00:00:00.000Z,12600000000.0,9507132551.793125,13016029551.793139,9507132551.793125,13016029551.793139
5617,UMA,UMA,23.17484335400471,1401310405.592299,uma,95,2020-05-25T00:00:00.000Z,101172570.0,60466877.12994386,102438556.01591027,60466877.12994386,102438556.01591027
1042,Siacoin,SC,0.02773153053409,1325597469.8705235,siacoin,51,2015-08-26T00:00:00.000Z,,47801092992.0,47801092992.0,47801092992.0,47801092992.0
1698,Horizen,ZEN,120.18436041331842,1332580151.390792,horizen,58,2017-06-01T00:00:00.000Z,21000000.0,11087800.0,11087800.0,11087800.0,11087800.0
1567,Nano,NANO,9.81212461815362,1307448897.2537336,nano,55,2017-03-06T00:00:00.000Z,133248298.0,133248297.197,133248297.197,133248297.197,133248297.197
1896,0x,ZRX,1.51882712370847,1278358852.0196269,0x,233,2017-08-16T00:00:00.000Z,1000000000.0,841675021.5115334,1000000000.0,841675021.5115334,1000000000.0
1808,OMG Network,OMG,9.08547289964952,1274195765.0567083,omg,261,2017-07-14T00:00:00.000Z,140245399.0,140245398.24513277,140245398.24513277,140245398.24513277,140245398.24513277
3330,Paxos Standard,PAX,0.99917078830463,1234802785.8732984,paxos-standard,169,2018-09-27T00:00:00.000Z,,1235827548.53,1235827548.53,1235827548.53,1235827548.53
1727,Bancor,BNT,6.30027642684295,1236843287.0604117,bancor,221,2017-06-18T00:00:00.000Z,,196315717.48038208,196315717.48038208,196315717.48038208,196315717.48038208
7064,BakeryToken,BAKE,6.51102617021233,1228747383.9445481,bakerytoken,57,2020-09-15T00:00:00.000Z,277237400.0,188717930.44942987,277237400.0,188717930.44942987,277237400.0
2099,ICON,ICX,1.91209287396615,1200356256.8510115,icon,63,2017-10-27T00:00:00.000Z,,627770896.0659311,800460000.0,627770896.0659311,800460000.0
5665,Helium,HNT,13.86067856179025,1148903203.7804465,helium,13,2020-06-05T00:00:00.000Z,223000000.0,82889390.92402226,223000000.0,82889390.92402226,223000000.0
2563,TrueUSD,TUSD,0.99888344435058,1124266575.9571998,trueusd,236,2018-03-06T00:00:00.000Z,,1125523285.34,1125523285.34,1125523285.34,1125523285.34
2577,Ravencoin,RVN,0.12916971887754,1134634560.8034441,ravencoin,78,2018-03-10T00:00:00.000Z,21000000000.0,8784060000.0,8784060000.0,8784060000.0,8784060000.0
6538,Curve DAO Token,CRV,3.05951627442349,1087339807.5443883,curve-dao-token,128,2020-08-14T00:00:00.000Z,3303030299.0,355395987.47494084,1499387725.348433,355395987.47494084,1499387725.348433
7288,Venus,XVS,105.7781515537789,1053181752.6174729,venus,35,2020-10-05T00:00:00.000Z,30000000.0,9956515.0,30000000.0,9956515.0,30000000.0
2499,SwissBorg,CHSB,1.01352620131692,1013526201.3169199,swissborg,7,2018-02-02T00:00:00.000Z,,1000000000.0,1000000000.0,1000000000.0,1000000000.0
5567,Celo,CELO,4.37535458312704,986554500.7419629,celo,32,2020-05-22T00:00:00.000Z,1000000000.0,225479897.0,1000000000.0,225479897.0,1000000000.0
3783,Ankr,ANKR,0.13441247530539,940380956.5148507,ankr,59,2019-03-06T00:00:00.000Z,10000000000.0,6996232711.125,10000000000.0,6996232711.125,10000000000.0
3964,Reserve Rights,RSR,0.06680936611909,879211191.3178582,reserve-rights,79,2019-05-24T00:00:00.000Z,100000000000.0,13159999000.0,100000000000.0,13159999000.0,100000000000.0
2087,KuCoin Token,KCS,10.70014302942814,857280885.9229765,kucoin-token,36,2017-10-24T00:00:00.000Z,170118638.0,80118638.0,170118638.0,80118638.0,170118638.0
4779,HUSD,HUSD,0.99920744307472,854286011.3710691,husd,80,2019-10-15T00:00:00.000Z,,854963618.7079386,854963618.7079386,854963618.7079386,854963618.7079386
4558,Flow,FLOW,23.52209996896481,798994387.2015023,flow,27,2021-01-27T00:00:00.000Z,1344157523.0,33967817.0,1344157523.0,33967817.0,1344157523.0
2222,Bitcoin Diamond,BCD,4.23691938986038,790155375.4083189,bitcoin-diamond,28,2017-11-24T00:00:00.000Z,210000000.0,186492897.953,189492897.953,186492897.953,189492897.953
5632,Arweave,AR,23.4756376719239,783961900.8382347,arweave,22,2020-05-27T00:00:00.000Z,66000000.0,33394701.0,63190435.0,33394701.0,63190435.0
2405,IOST,IOST,0.04829108755103,794594872.039317,iostoken,92,2018-01-16T00:00:00.000Z,90000000000.0,16454275775.0,16454275775.0,16454275775.0,16454275775.0
8104,1inch,1INCH,4.669640428777,781000395.3125633,1inch,192,2020-12-25T00:00:00.000Z,,167250649.64308417,1500000000.0,167250649.64308417,1500000000.0
1214,Lisk,LSK,6.03749732308018,773166437.7217995,lisk,60,2016-04-06T00:00:00.000Z,,128060750.39837025,143991018.0,128060750.39837025,143991018.0
693,Verge,XVG,0.04548319863821,748335132.8930933,verge,45,2014-10-25T00:00:00.000Z,16555000000.0,16453001444.459188,16453001444.459188,16453001444.459188,16453001444.459188
2539,Ren,REN,0.74321206881242,741103614.0895966,ren,128,2018-02-21T00:00:00.000Z,1000000000.0,997163051.0169293,999999632.80375,997163051.0169293,999999632.80375
1817,Voyager Token,VGX,3.13123041681091,696057516.800908,voyager-token,7,2017-07-18T00:00:00.000Z,222295209.0,222295208.0,222295208.238,222295208.0,222295208.238
1934,Loopring,LRC,0.53994746026794,661494241.0603766,loopring,100,2017-08-30T00:00:00.000Z,1374513896.0,1225108533.2119555,1373873440.4424574,1225108533.2119555,1373873440.4424574
3640,Livepeer,LPT,30.24570926938219,640140011.9743785,livepeer,27,2018-12-19T00:00:00.000Z,22906951.0,21164655.33252989,22859012.33252989,21164655.33252989,22859012.33252989
1886,Dent,DENT,0.00666631857567,637666439.7010534,dent,38,2017-08-12T00:00:00.000Z,,95654960449.73587,100000000000.0,95654960449.73587,100000000000.0
4269,GateToken,GT,7.80371834231548,613508509.830723,gatetoken,19,2019-08-20T00:00:00.000Z,,78617459.38522506,300000000.0,78617459.38522506,300000000.0
1637,iExec RLC,RLC,7.46172217838329,597466013.7504532,rlc,37,2017-04-20T00:00:00.000Z,,80070793.23876736,86999784.9868455,80070793.23876736,86999784.9868455
5161,WazirX,WRX,2.01158525801851,590930519.0764263,wazirx,38,2020-02-06T00:00:00.000Z,,293763596.010102,985546668.0,293763596.010102,985546668.0
4948,Nervos Network,CKB,0.02224784398222,585796583.5598843,nervos-network,45,2019-11-19T00:00:00.000Z,,26330487755.489494,32107232212.58365,26330487755.489494,32107232212.58365
1759,Status,SNT,0.16811031574177,583424125.3773739,status,85,2017-06-28T00:00:00.000Z,,3470483788.0,6804870174.0,3470483788.0,6804870174.0
7334,Conflux Network,CFX,0.69603277389691,579608429.4751995,conflux-network,17,2020-11-11T00:00:00.000Z,,832731519.566413,832731519.566413,832731519.566413,832731519.566413
8891,Bitcoin Standard Hashrate Token,BTCST,66.99779631657118,567075375.2245969,btc-standard-hashrate-token,10,2021-03-19T00:00:00.000Z,15000000.0,8464089.96118484,15000000.0,8464089.96118484,15000000.0
3155,Quant,QNT,46.61213599700608,562736105.5122231,quant,30,2018-08-10T00:00:00.000Z,14612493.0,12072738.0,14612493.080826,12072738.0,14612493.080826
3673,BTMX,BTMX,0.72372981784985,538309510.7658577,bitmax-token,9,2019-01-08T00:00:00.000Z,,743798994.444,743798994.444,743798994.444,743798994.444
5777,renBTC,RENBTC,45071.10068610122,538004262.2691306,renbtc,22,2020-06-28T00:00:00.000Z,13698.0,11936.78996251,11936.78996251,11936.78996251,11936.78996251
1982,Kyber Network Crystal Legacy,KNC,2.58924853198061,530912703.74937236,kyber-network-crystal-legacy,138,2017-09-24T00:00:00.000Z,226000000.0,205045092.11530113,210252943.83416528,205045092.11530113,210252943.83416528
8335,Mdex,MDX,2.69404095920941,515385418.4706372,mdex,20,2021-01-27T00:00:00.000Z,,191305710.0,1000000000.0,191305710.0,1000000000.0
7232,Alpha Finance Lab,ALPHA,1.77658535844486,507355532.25981224,alpha-finance-lab,43,2020-09-29T00:00:00.000Z,1000000000.0,285579035.0,1000000000.0,285579035.0,1000000000.0
5691,SKALE Network,SKL,0.52276284649099,501252736.7154964,skale-network,37,2020-06-12T00:00:00.000Z,7000000000.0,958853025.0,4072194681.0,958853025.0,4072194681.0
6951,Reef,REEF,0.03748262219125,474779906.2525004,reef,59,2020-09-08T00:00:00.000Z,20000000000.0,12666667338.0,15934019762.0,12666667338.0,15934019762.0
3012,VeThor Token,VTHO,0.01264219044591,448441177.3679022,vethor-token,22,2018-07-30T00:00:00.000Z,,35471794171.0,35471794171.0,35471794171.0,35471794171.0
1772,Storj,STORJ,1.55661016494198,447392253.62291837,storj,73,2017-07-02T00:00:00.000Z,,287414449.4871612,424999998.00001335,287414449.4871612,424999998.00001335
3911,Ocean Protocol,OCEAN,1.04987275745776,447273969.86843145,ocean-protocol,56,2019-05-06T00:00:00.000Z,1410000000.0,426026836.76781356,613099141.0,426026836.76781356,613099141.0
6187,Serum,SRM,8.93289793825783,446644896.91289145,serum,83,2020-08-04T00:00:00.000Z,10000000000.0,50000000.0,161000001.0,50000000.0,161000001.0
5068,Neutrino USD,USDN,0.98247388158579,438952212.4927725,neutrino-usd,35,2020-01-30T00:00:00.000Z,,446782576.839874,446783128.89874,446782576.839874,446783128.89874
1732,Numeraire,NMR,88.22226462574476,435937112.2826975,numeraire,49,2017-06-23T00:00:00.000Z,11000000.0,4941350.28308357,10972336.20153657,4941350.28308357,10972336.20153657
2777,IoTeX,IOTX,0.04367523260063,421217239.78961515,iotex,31,2018-05-25T00:00:00.000Z,10000000000.0,9644304442.32,9644304442.32,9644304442.32,9644304442.32
5268,Energy Web Token,EWT,13.58372611530874,408355849.0326153,energy-web-token,17,2020-03-28T00:00:00.000Z,100000000.0,30062138.0,48638535.4433,30062138.0,48638535.4433
1455,Golem,GLM,0.38311457226301,383114572.26300997,golem-network-tokens,60,2016-11-18T00:00:00.000Z,,1000000000.0,1000000000.0,1000000000.0,1000000000.0
1762,Ergo,ERG,11.8550273299489,379508208.8380214,ergo,14,2017-06-29T00:00:00.000Z,97739924.0,32012428.0,35316150.0,32012428.0,35316150.0
7226,Injective Protocol,INJ,15.69519729241951,377556681.70364857,injective-protocol,43,2020-09-29T00:00:00.000Z,100000000.0,24055555.0,100000000.0,24055555.0,100000000.0
4120,Prometeus,PROM,22.28463236125183,366582202.3425926,prometeus,17,2019-07-17T00:00:00.000Z,,16450000.0,19250000.0,16450000.0,19250000.0
1104,Augur,REP,32.65769039503086,359234594.3453395,augur,87,2015-10-27T00:00:00.000Z,,11000000.0,11000000.0,11000000.0,11000000.0
5728,Balancer,BAL,51.83659839924849,359944578.899252,balancer,146,2020-06-24T00:00:00.000Z,100000000.0,6943831.0,35725000.0,6943831.0,35725000.0
7501,Wootrade,WOO,0.95424801326679,359022174.01628006,wootrade,29,2020-10-23T00:00:00.000Z,3000000000.0,376235705.0,2873566212.683032,376235705.0,2873566212.683032
5444,Cartesi,CTSI,1.06126003128412,358130001.9039074,cartesi,29,2020-04-23T00:00:00.000Z,1000000000.0,337457353.85,1000000000.0,337457353.85,1000000000.0
5117,Origin Protocol,OGN,1.13592962153615,351702182.21736115,origin-protocol,57,2020-01-09T00:00:00.000Z,,309616173.0,1000000000.0,309616173.0,1000000000.0
4846,Kava.io,KAVA,4.77912718728828,335361591.62245375,kava,51,2019-10-25T00:00:00.000Z,,70172142.0,124123259.0,70172142.0,124123259.0
1659,Gnosis,GNO,220.52584165253194,331800314.51445806,gnosis-gno,31,2017-05-01T00:00:00.000Z,10000000.0,1504587.0,10000000.0,1504587.0,10000000.0
1343,Stratis,STRAX,2.54819820759553,334569388.74644893,stratis,22,2016-08-12T00:00:00.000Z,,131296454.0,131296454.0,131296454.0,131296454.0
3773,Fetch.ai,FET,0.44298693669642,330518613.97347987,fetch,47,2019-03-02T00:00:00.000Z,1152997575.0,746113681.0,1151441225.6042874,746113681.0,1151441225.6042874
2780,NKN,NKN,0.55920569402202,326389723.03804857,nkn,28,2018-05-28T00:00:00.000Z,1000000000.0,583666666.0,700000000.0,583666666.0,700000000.0
4279,Swipe,SXP,3.58443621637352,328267335.6314407,swipe,112,2019-08-26T00:00:00.000Z,239612084.0,91581302.0,239612084.0,91581302.0,239612084.0
1757,FUNToken,FUN,0.03096149520701,318868698.6373775,funtoken,25,2017-06-27T00:00:00.000Z,10999873621.0,10298879188.66342,10999873621.398026,10298879188.66342,10999873621.398026
2297,StormX,STMX,0.03621541856702,308856494.0721719,stormx,17,2017-12-20T00:00:00.000Z,10000000000.0,8528314908.209724,10000000000.0,8528314908.209724,10000000000.0
463,BitShares,BTS,0.1025541137938,307140340.9421896,bitshares,55,2014-07-21T00:00:00.000Z,3600570502.0,2994910000.0,2994910000.0,2994910000.0,2994910000.0
8202,ZKSwap,ZKS,1.53899838784765,303859841.69664,zkswap,25,2021-01-07T00:00:00.000Z,1000000000.0,197440000.0,1000000000.0,197440000.0,1000000000.0
1320,Ardor,ARDR,0.30225912157326,301956709.81083035,ardor,27,2016-07-23T00:00:00.000Z,998999495.0,998999495.0,998999495.0,998999495.0,998999495.0
1230,Steem,STEEM,0.79556614010603,297969975.9786835,steem,33,2016-04-18T00:00:00.000Z,,374538282.812,391512376.812,374538282.812,391512376.812
1680,Aragon,ANT,7.4091795933136,293474068.1012134,aragon,75,2017-05-18T00:00:00.000Z,,39609522.80952381,39609523.80952381,39609522.80952381,39609523.80952381
7224,DODO,DODO,2.65001336832103,292964185.1441586,dodo,61,2020-09-29T00:00:00.000Z,1000000000.0,110551965.0,1000000000.0,110551965.0,1000000000.0
2424,SingularityNET,AGI,0.32877471965868,284668382.0544111,singularitynet,8,2018-01-18T00:00:00.000Z,1000000000.0,865846322.8253735,1000000000.0,865846322.8253735,1000000000.0
